frame,gt_count,tp,fp,fn,id_sw,action_taken
304,19,10,17,9,0,0
305,19,11,16,8,0,0
306,19,11,16,8,0,0
307,19,11,16,8,0,0
308,19,11,16,8,0,0
309,19,10,18,9,0,1
310,19,11,16,8,1,0
311,19,11,16,8,0,0
312,19,11,16,8,0,0
313,18,11,16,7,0,0
314,18,11,16,7,0,0
315,18,11,16,7,0,0
316,17,11,16,6,0,2
317,17,11,16,6,0,1
318,17,11,16,6,0,0
319,17,11,16,6,0,0
320,17,11,16,6,0,2
321,17,11,16,6,0,0
322,17,10,17,7,0,2
323,16,10,17,6,0,0
324,16,10,16,6,1,2
325,17,10,16,7,0,0
326,17,10,16,7,0,0
327,17,10,15,7,1,0
328,17,9,16,8,0,0
329,17,8,17,9,0,0
330,17,8,17,9,0,0
331,17,8,17,9,0,0
332,17,8,16,9,1,0
333,17,8,16,9,0,0
334,17,8,17,9,0,0
335,18,8,16,10,1,0
336,19,8,16,11,0,0
337,18,7,17,11,0,0
338,18,7,17,11,0,3
339,16,6,18,10,0,0
340,15,6,18,9,0,2
341,15,6,18,9,0,0
342,15,6,18,9,0,0
343,15,6,18,9,0,2
344,15,6,18,9,0,0
345,15,6,18,9,0,0
346,15,6,18,9,0,2
347,15,6,18,9,0,3
348,15,6,18,9,0,2
349,15,6,17,9,1,1
350,15,6,17,9,0,0
351,14,6,17,8,0,0
352,14,6,17,8,0,1
353,15,6,17,9,0,3
354,15,6,17,9,0,2
355,14,5,17,9,1,0
356,13,6,16,7,0,2
357,13,6,16,7,0,0
358,12,6,16,6,0,0
359,12,6,16,6,0,3
360,12,6,15,6,1,0
361,11,6,15,5,0,0
362,11,6,15,5,0,0
363,11,6,15,5,0,0
364,11,6,15,5,0,2
365,12,6,15,6,0,1
366,11,6,15,5,0,2
367,11,6,15,5,0,2
368,11,6,15,5,0,0
369,11,7,13,4,1,2
370,11,7,13,4,0,0
371,12,7,13,5,0,0
372,12,7,13,5,0,2
373,12,7,13,5,0,0
374,11,7,13,4,1,0
375,11,6,14,5,0,0
376,12,6,14,6,0,0
377,11,5,15,6,0,0
378,10,6,14,4,0,0
379,10,7,13,3,0,0
380,10,7,13,3,0,0
381,11,7,13,4,0,0
382,12,7,13,5,0,0
383,12,7,14,5,0,0
384,11,7,14,4,0,0
385,11,7,13,4,1,0
386,11,7,13,4,0,0
387,11,7,13,4,0,0
388,10,7,13,3,0,0
389,10,7,13,3,0,0
390,9,7,14,2,0,2
391,10,7,14,3,0,1
392,11,7,14,4,0,0
393,11,8,14,3,0,3
394,11,8,14,3,0,0
395,12,8,14,4,0,0
396,11,8,13,3,1,0
397,11,8,13,3,0,2
398,12,8,13,4,0,0
399,11,7,14,4,0,2
400,10,7,14,3,0,2
401,10,7,14,3,0,0
402,10,7,14,3,0,0
403,10,7,14,3,0,3
404,10,7,14,3,0,0
405,9,7,14,2,0,0
406,9,7,14,2,0,1
407,9,7,15,2,0,2
408,9,7,15,2,0,0
409,9,7,15,2,0,0
410,9,7,15,2,0,0
411,9,7,15,2,0,2
412,10,7,15,3,0,0
413,10,7,15,3,0,0
414,10,8,14,2,0,0
415,10,8,15,2,0,0
416,9,7,15,2,1,0
417,9,7,15,2,0,2
418,9,7,15,2,0,0
419,9,7,15,2,0,0
420,10,7,14,3,1,0
421,10,8,13,2,0,0
422,10,8,13,2,0,0
423,10,8,13,2,0,0
424,10,8,13,2,0,0
425,11,8,13,3,0,0
426,11,8,14,3,0,0
427,12,8,15,4,0,2
428,13,8,16,5,0,0
429,13,8,17,5,0,0
430,13,8,17,5,0,0
431,14,8,17,6,0,0
432,13,8,17,5,0,0
433,13,8,17,5,0,0
434,13,8,17,5,0,0
435,12,7,18,5,0,0
436,11,8,17,3,1,0
437,11,7,18,4,0,0
438,10,6,19,4,0,0
439,9,6,19,3,0,0
440,9,6,19,3,0,0
441,8,5,21,3,0,0
442,8,6,20,2,0,0
443,8,7,19,1,0,0
444,9,7,19,2,0,0
445,11,9,17,2,0,0
446,10,8,18,2,0,0
447,11,8,18,3,0,0
448,9,7,19,2,0,0
449,10,7,19,3,0,0
450,10,7,19,3,0,0
451,11,6,20,5,0,0
452,11,6,20,5,0,1
453,11,6,20,5,0,0
454,11,5,21,6,0,0
455,11,6,20,5,0,3
456,9,6,20,3,0,0
457,8,6,20,2,0,2
458,9,6,20,3,0,0
459,10,6,20,4,0,0
460,11,6,20,5,0,0
461,11,6,20,5,0,2
462,12,8,18,4,0,0
463,12,8,18,4,0,0
464,12,9,17,3,0,0
465,12,8,18,4,0,0
466,13,8,18,5,0,0
467,12,7,18,5,1,0
468,14,8,17,6,0,0
469,15,8,17,7,0,0
470,16,8,17,8,0,0
471,15,9,16,6,0,0
472,17,9,16,8,0,2
473,18,9,16,9,0,0
474,18,9,15,9,1,0
475,18,10,14,8,0,0
476,18,10,14,8,0,0
477,17,10,14,7,0,0
478,18,8,16,10,0,0
479,19,8,16,11,0,0
480,20,8,16,12,0,0
481,21,8,15,13,1,2
482,21,10,14,11,0,0
483,21,11,13,10,0,2
484,19,9,15,10,0,0
485,20,10,14,10,0,0
486,20,11,13,9,0,0
487,19,11,13,8,0,0
488,19,11,13,8,0,0
489,19,12,12,7,0,1
490,20,12,13,8,0,0
491,19,12,13,7,0,0
492,18,12,13,6,0,0
493,19,12,13,7,0,2
494,19,12,13,7,0,0
495,18,11,14,7,0,0
496,18,11,14,7,0,0
497,18,11,14,7,0,0
498,18,12,13,6,0,1
499,17,10,15,7,0,0
500,16,12,13,4,0,0
501,16,12,13,4,0,0
502,16,10,15,6,0,2
503,16,11,14,5,0,0
504,16,11,14,5,0,0
505,16,11,14,5,0,0
506,18,12,13,6,0,1
507,18,12,13,6,0,0
508,18,12,13,6,0,0
509,18,12,13,6,0,0
510,18,12,13,6,0,0
511,18,12,13,6,0,0
512,18,11,14,7,0,0
513,18,11,15,7,0,2
514,17,10,16,7,0,0
515,17,11,16,6,0,2
516,17,11,16,6,0,3
517,19,11,16,8,0,2
518,18,11,15,7,1,0
519,18,11,15,7,0,0
520,19,12,14,7,0,0
521,19,11,15,8,0,0
522,19,12,13,7,1,0
523,19,12,13,7,0,0
524,19,12,14,7,0,1
525,19,13,14,6,0,0
526,18,13,14,5,0,0
527,18,13,14,5,0,0
528,17,13,14,4,0,0
529,17,12,15,5,0,0
530,17,13,14,4,0,0
531,17,12,15,5,0,0
532,17,13,14,4,0,0
533,18,13,14,5,0,0
534,19,14,13,5,0,0
535,19,14,13,5,0,0
536,19,15,12,4,0,0
537,19,15,12,4,0,0
538,18,14,12,4,1,0
539,20,15,11,5,0,0
540,19,14,12,5,0,0
541,19,14,13,5,0,0
542,20,14,13,6,0,0
543,20,14,13,6,0,0
544,20,13,14,7,0,0
545,20,13,14,7,0,0
546,21,13,14,8,0,0
547,21,13,14,8,0,0
548,21,13,14,8,0,0
549,21,13,14,8,0,0
550,20,13,12,7,2,0
551,19,12,13,7,0,0
552,19,12,13,7,0,0
553,19,12,14,7,0,1
554,19,12,14,7,0,0
555,19,13,13,6,0,0
556,20,13,12,7,1,0
557,20,13,12,7,0,0
558,20,13,12,7,0,0
559,20,13,11,7,1,0
560,20,13,11,7,0,2
561,20,13,11,7,0,0
562,20,13,11,7,0,1
563,20,14,10,6,0,0
564,20,14,10,6,0,0
565,19,14,10,5,0,0
566,18,13,11,5,0,3
567,18,13,11,5,0,0
568,18,12,12,6,0,0
569,18,12,12,6,0,0
570,17,12,12,5,0,0
571,17,11,13,6,0,0
572,17,11,13,6,0,0
573,17,10,14,7,0,0
574,17,12,12,5,0,0
575,17,11,13,6,0,0
