frame,gt_count,tp,fp,fn,id_sw,action_taken
314,18,17,7,1,0,0
315,18,17,7,1,0,0
316,17,16,8,1,0,0
317,17,16,8,1,0,3
318,17,16,8,1,0,0
319,17,16,8,1,0,0
320,17,16,7,1,1,0
321,17,16,7,1,0,0
322,17,16,7,1,0,0
323,16,15,8,1,0,0
324,16,15,8,1,0,0
325,17,15,7,2,1,0
326,17,15,7,2,0,0
327,17,16,6,1,0,0
328,17,16,6,1,0,3
329,17,16,6,1,0,0
330,17,16,6,1,0,0
331,17,16,6,1,0,0
332,17,16,6,1,0,0
333,17,16,6,1,0,3
334,17,16,6,1,0,0
335,18,17,6,1,0,0
336,19,18,4,1,1,0
337,18,16,6,2,0,3
338,18,16,6,2,0,0
339,16,14,8,2,0,0
340,15,13,9,2,0,3
341,15,13,9,2,0,0
342,15,13,9,2,0,0
343,15,13,9,2,0,0
344,15,14,8,1,0,0
345,15,14,8,1,0,0
346,15,14,10,1,0,0
347,15,14,10,1,0,0
348,15,14,10,1,0,3
349,15,14,10,1,0,0
350,15,14,10,1,0,0
351,14,14,10,0,0,3
352,14,14,10,0,0,0
353,15,14,11,1,0,0
354,15,13,12,2,0,0
355,14,12,13,2,0,0
356,13,11,12,2,2,0
357,13,11,12,2,0,0
358,12,10,13,2,0,0
359,12,10,13,2,0,0
360,12,10,13,2,0,3
361,11,10,13,1,0,0
362,11,10,13,1,0,0
363,11,10,13,1,0,0
364,11,10,12,1,1,0
365,12,11,11,1,0,0
366,11,10,12,1,0,2
367,11,10,13,1,0,0
368,11,10,13,1,0,0
369,11,10,13,1,0,3
370,11,10,12,1,1,0
371,12,10,12,2,0,0
372,12,10,12,2,0,2
373,12,10,12,2,0,0
374,11,9,13,2,0,0
375,11,9,13,2,0,0
376,12,9,13,3,0,3
377,11,9,14,2,0,3
378,10,8,15,2,0,0
379,10,8,15,2,0,0
380,10,8,15,2,0,3
381,11,9,15,2,0,0
382,12,9,15,3,0,0
383,12,10,13,2,1,3
384,11,10,13,1,0,3
385,11,10,13,1,0,0
386,11,10,13,1,0,0
387,11,10,13,1,0,3
388,10,9,14,1,0,0
389,10,9,14,1,0,0
390,9,8,15,1,0,3
391,10,9,14,1,0,0
392,11,10,13,1,0,0
393,11,10,13,1,0,0
394,11,10,13,1,0,0
395,12,11,12,1,1,0
396,11,10,13,1,0,0
397,11,10,13,1,0,3
398,12,11,12,1,0,0
399,11,10,13,1,0,0
400,10,9,14,1,0,0
401,10,9,13,1,1,0
402,10,9,13,1,0,0
403,10,9,13,1,0,0
404,10,8,14,2,0,0
405,9,8,15,1,0,0
406,9,8,15,1,0,0
407,9,8,14,1,1,3
408,9,8,14,1,0,0
409,9,8,14,1,0,0
410,9,8,12,1,2,0
411,9,8,13,1,0,0
412,10,9,12,1,0,0
413,10,9,12,1,0,0
414,10,9,11,1,1,0
415,10,9,11,1,0,3
416,9,8,12,1,0,0
417,9,8,12,1,0,0
418,9,8,12,1,0,0
419,9,8,12,1,0,0
420,10,8,12,2,0,3
421,10,8,12,2,0,0
422,10,8,12,2,0,0
423,10,8,13,2,0,0
424,10,8,13,2,0,2
425,11,9,12,2,0,3
426,11,9,12,2,0,0
427,12,9,10,3,2,0
428,13,10,9,3,0,0
429,13,10,10,3,0,0
430,13,10,9,3,2,3
431,14,11,8,3,0,0
432,13,10,9,3,0,0
433,13,10,9,3,0,0
434,13,11,8,2,0,0
435,12,11,8,1,0,0
436,11,11,8,0,0,0
437,11,11,8,0,0,0
438,10,10,9,0,0,0
439,9,9,9,0,1,0
440,9,9,9,0,0,0
441,8,8,10,0,0,0
442,8,8,10,0,0,0
443,8,8,10,0,0,0
444,9,9,9,0,0,3
445,11,11,7,0,0,0
446,10,10,8,0,0,3
447,11,11,7,0,0,0
448,9,9,9,0,0,3
449,10,10,8,0,0,0
450,10,10,8,0,0,0
451,11,11,7,0,0,0
452,11,11,7,0,0,3
453,11,11,7,0,0,3
454,11,11,9,0,0,3
455,11,11,9,0,0,0
456,9,9,11,0,0,0
457,8,8,13,0,0,3
458,9,9,12,0,0,3
459,10,10,11,0,0,0
460,11,9,12,2,0,3
461,11,10,12,1,0,0
462,12,12,10,0,0,0
463,12,12,10,0,0,3
464,12,12,10,0,0,0
465,12,11,12,1,0,0
466,13,12,12,1,0,3
467,12,11,13,1,0,0
468,14,13,11,1,0,0
469,15,14,10,1,0,3
470,16,15,9,1,0,3
471,15,15,10,0,0,0
472,17,17,9,0,0,0
473,18,17,9,1,0,3
474,18,17,9,1,0,0
475,18,18,9,0,0,0
476,18,18,9,0,0,3
477,17,17,10,0,0,0
478,18,18,9,0,1,0
479,19,19,8,0,0,3
480,20,20,7,0,0,3
481,21,21,6,0,0,0
482,21,20,7,1,0,0
483,21,20,7,1,0,3
484,19,19,8,0,0,0
485,20,19,8,1,0,3
486,20,20,8,0,0,0
487,19,19,9,0,0,0
488,19,19,9,0,0,0
489,19,19,9,0,0,0
490,20,20,9,0,0,0
491,19,19,10,0,0,0
492,18,18,10,0,1,0
493,19,19,9,0,0,0
494,19,19,9,0,0,0
495,18,18,10,0,0,0
496,18,18,10,0,0,0
497,18,18,10,0,0,0
498,18,18,10,0,0,0
499,17,17,11,0,0,0
500,16,16,12,0,0,0
501,16,16,12,0,0,0
502,16,16,12,0,0,0
503,16,16,12,0,0,0
504,16,16,12,0,0,3
505,16,16,12,0,0,0
506,18,18,10,0,0,3
507,18,18,10,0,0,0
508,18,18,10,0,0,0
509,18,18,10,0,0,0
510,18,18,10,0,0,0
511,18,18,10,0,0,0
512,18,18,10,0,0,0
513,18,18,9,0,1,0
514,17,17,10,0,0,3
515,17,17,10,0,0,0
516,17,17,10,0,0,0
517,19,18,9,1,0,0
518,18,18,8,0,1,0
519,18,18,7,0,1,0
520,19,18,7,1,0,0
521,19,18,7,1,0,0
522,19,18,7,1,0,0
523,19,18,8,1,0,3
524,19,19,8,0,0,0
525,19,19,8,0,0,0
526,18,18,9,0,0,0
527,18,18,9,0,0,0
528,17,17,10,0,0,2
529,17,17,10,0,0,0
